"","rsi","sma","lma","adx","macd","signal","Date","High","Low","Open","Close","Volume","yhat","us_china","trump","malaysia","Score","target_cls","class"
"118",44.1,6.7,6.7,56.2,0.1397,0.2743,"2017-06-27",6.659999847,6.659999847,6.659999847,6.659999847,0,6.487246317,69.14285714,16.57142857,43.57142857,0,1,1
"119",44.8,6.7,6.7,55.3,0.1135,0.2419,"2017-06-28",6.829999924,6.639999866,6.75,6.679999828,21960600,6.453558068,67.71428571,16.85714286,43.85714286,0,0,-1
"120",51.4,6.7,6.7,55.5,0.0869,0.2106,"2017-06-29",6.690000057,6.630000114,6.690000057,6.639999866,8854900,6.427759276,66.28571429,17.14285714,44.14285714,0,0,-1
"121",41.5,6.7,6.7,55.4,0.0542,0.1798,"2017-06-30",6.670000076,6.429999828,6.659999847,6.579999924,15453000,6.419975525,64.85714286,17.42857143,44.42857143,0,0,-1
"122",29.4,6.6,6.7,52.7,0.0207,0.1489,"2017-07-03",6.570000172,6.400000095,6.480000019,6.519999981,15299600,6.417417053,67,17.57142857,46.57142857,0,0,-1
"123",20.2,6.6,6.6,49.8,-0.0109,0.1171,"2017-07-04",6.570000172,6.489999771,6.539999962,6.510000229,24469900,6.393494792,72,17.14285714,48.14285714,0,0,-1
"124",15.9,6.6,6.6,47.2,-0.0385,0.0847,"2017-07-05",6.519999981,6.489999771,6.510000229,6.510000229,11837400,6.368566435,77,16.71428571,49.71428571,0,1,1
"125",14.9,6.6,6.6,44.7,-0.0571,0.054,"2017-07-06",6.599999905,6.5,6.510000229,6.599999905,12243100,6.353217463,82,16.28571429,51.28571429,0,0,-1
"126",44.7,6.5,6.6,43.1,-0.0814,0.0252,"2017-07-07",6.599999905,6.539999962,6.590000153,6.550000191,13557000,6.34701104,87,15.85714286,52.85714286,0,0,-1
"127",37.7,6.5,6.5,41.7,-0.0983,-0.0012,"2017-07-10",6.550000191,6.480000019,6.53000021,6.53000021,12319500,6.300507224,93.57142857,15.42857143,55,0,0,-1
"128",35,6.5,6.5,39.5,-0.117,-0.0268,"2017-07-11",6.5,6.340000153,6.449999809,6.389999866,25819500,6.280410399,90.14285714,15.85714286,54,0,0,-1
"129",21.9,6.5,6.5,37.3,-0.1301,-0.0509,"2017-07-12",6.400000095,6.289999962,6.400000095,6.309999943,20729200,6.272673412,86.71428571,16.28571429,53,0,1,1
"130",17.3,6.5,6.5,35.7,-0.139,-0.0724,"2017-07-13",6.369999886,6.300000191,6.329999924,6.340000153,23927300,6.275638337,83.28571429,16.71428571,52,0,0,-1
"131",22.9,6.4,6.5,34.2,-0.149,-0.0913,"2017-07-14",6.409999847,6.309999943,6.389999866,6.340000153,12973100,6.278380436,79.85714286,17.14285714,51,0,0,-1
"132",22.9,6.4,6.4,32.3,-0.1797,-0.11,"2017-07-17",6.369999886,6.239999771,6.349999905,6.28000021,10224700,6.237517523,73.28571429,17.85714286,47.57142857,0,1,1
"133",19.2,6.3,6.4,31.3,-0.1996,-0.1279,"2017-07-18",6.349999905,6.289999962,6.329999924,6.329999924,13756700,6.23062124,73.57142857,17.71428571,46.14285714,0,1,1
"134",29.6,6.3,6.3,30.2,-0.208,-0.1447,"2017-07-19",6.5,6.349999905,6.360000134,6.420000076,12896400,6.233639844,73.85714286,17.57142857,44.71428571,0,0,-1
"135",45.3,6.3,6.3,28.5,-0.2033,-0.1582,"2017-07-20",6.449999809,6.300000191,6.449999809,6.309999943,21321100,6.238308444,74.14285714,17.42857143,43.28571429,0,1,1
"136",36,6.3,6.3,26.5,-0.1818,-0.1675,"2017-07-21",6.389999866,6.329999924,6.349999905,6.349999905,20201300,6.237546982,74.42857143,17.28571429,41.85714286,0,0,-1
"137",41.9,6.3,6.3,24.7,-0.1668,-0.173,"2017-07-24",6.400000095,6.329999924,6.389999866,6.340000153,8340100,6.258173785,77.42857143,16.71428571,39.28571429,0,1,1
"138",41.3,6.4,6.3,23,-0.1541,-0.1757,"2017-07-24",6.400000095,6.329999924,6.389999866,6.340000153,8340100,6.258173785,77.42857143,16.71428571,39.28571429,0,1,1
"139",41.7,6.4,6.4,21.4,-0.134,-0.1752,"2017-07-24",6.400000095,6.329999924,6.389999866,6.340000153,8340100,6.258173785,77.42857143,16.71428571,39.28571429,0,1,1
"140",42.2,6.3,6.4,19.9,-0.1196,-0.1719,"2017-07-25",6.449999809,6.329999924,6.409999847,6.349999905,11523200,6.290294593,79.85714286,16.42857143,39.57142857,0,1,1
"141",46.4,6.3,6.3,19.1,-0.1129,-0.1645,"2017-07-26",6.400000095,6.349999905,6.380000114,6.400000095,10637600,6.320529481,82.28571429,16.14285714,39.85714286,0,1,1
"142",58.3,6.4,6.3,18.4,-0.0694,-0.15,"2017-07-27",6.610000134,6.429999828,6.429999828,6.590000153,25349300,6.336668213,84.71428571,15.85714286,40.14285714,0,1,1
"143",79.6,6.4,6.4,19.6,-0.0272,-0.1299,"2017-07-28",6.730000019,6.570000172,6.599999905,6.639999866,60290200,6.339547584,87.14285714,15.57142857,40.42857143,0,0,-1
"144",84,6.5,6.4,21.4,0.007,-0.1065,"2017-07-31",6.699999809,6.5,6.699999809,6.550000191,27703200,6.397629853,88.28571429,16.42857143,42.14285714,0,0,-1
"145",68.4,6.5,6.5,22.2,0.0379,-0.0821,"2017-08-01",6.639999866,6.510000229,6.599999905,6.510000229,13198400,6.439742885,84.57142857,17.85714286,43.28571429,0,1,1
"146",62.7,6.5,6.5,23,0.0724,-0.0555,"2017-08-02",6.570000172,6.53000021,6.539999962,6.559999943,14161200,6.472035659,80.85714286,19.28571429,44.42857143,0,1,1
"147",67.3,6.6,6.5,23.7,0.1073,-0.0265,"2017-08-03",6.599999905,6.510000229,6.559999943,6.599999905,11286300,6.488307337,77.14285714,20.71428571,45.57142857,0,1,1
"148",70.3,6.6,6.6,24.5,0.1349,0.0034,"2017-08-04",6.769999981,6.599999905,6.670000076,6.619999886,12685200,6.495997169,73.42857143,22.14285714,46.71428571,0,1,1
"149",72.3,6.6,6.6,26.3,0.1412,0.0324,"2017-08-07",6.710000038,6.619999886,6.639999866,6.679999828,8310400,6.553708059,63.57142857,24,56.28571429,1,1,1
"150",77.6,6.6,6.6,28,0.1487,0.0614,"2017-08-08",6.769999981,6.690000057,6.699999809,6.760000229,14608500,6.570703823,61.14285714,23,63.57142857,0,0,-1
"151",81.7,6.6,6.6,29.8,0.1726,0.0883,"2017-08-09",6.789999962,6.730000019,6.78000021,6.760000229,7135800,6.5760872,58.71428571,22,70.85714286,0,1,1
"152",81.9,6.7,6.6,31.6,0.2023,0.1138,"2017-08-10",6.78000021,6.699999809,6.760000229,6.78000021,6269900,6.576972449,56.28571429,21,78.14285714,0,1,1
"153",83.1,6.7,6.7,32.8,0.2262,0.1382,"2017-08-11",6.800000191,6.699999809,6.730000019,6.800000191,12182100,6.584620223,53.85714286,20,85.42857143,0,0,-1
