"","rsi","sma","lma","adx","macd","signal","us_china","malaysia","Score","class"
"223",31.4,6,6.1,25.1,-0.0852,-0.0189,59.14285714,39.14285714,0,"Down"
"224",29,6,6,26.6,-0.1104,-0.0301,57.28571429,39.28571429,0,"Down"
"225",25.7,6,6,28.2,-0.1284,-0.0451,55.42857143,39.42857143,0,"Up"
"226",24.8,6,6,29.9,-0.1364,-0.0623,53.57142857,39.57142857,0,"Down"
"227",31.8,6,6,29.7,-0.1312,-0.0789,53.57142857,39.57142857,1,"Down"
"228",32,6,6,29.5,-0.1149,-0.0927,53.57142857,39.57142857,0,"Down"
"229",33.1,6,6,29.4,-0.1128,-0.1034,51.71428571,39.71428571,0,"Down"
"230",34.7,6,6,29.2,-0.1092,-0.1101,46.14285714,41.14285714,0,"Down"
"231",33.8,6,6,29.5,-0.1075,-0.1151,44.28571429,42.28571429,1,"Up"
"232",27.8,6,6,29.7,-0.1039,-0.1172,42.42857143,43.42857143,0,"Up"
"233",33.7,6,6,30.2,-0.092,-0.1152,40.57142857,44.57142857,0,"Down"
"234",66.5,6,6,28.1,-0.0785,-0.1096,38.71428571,45.71428571,0,"Down"
"235",70.3,6,6,26.2,-0.0755,-0.1028,37.14285714,47.85714286,0,"Up"
"236",45.1,6,6,25.8,-0.0696,-0.096,39.28571429,47.71428571,0,"Down"
"237",48.4,6,6,25.5,-0.0604,-0.0899,41.42857143,47.57142857,0,"Down"
"238",48.7,6,6,24.8,-0.0454,-0.0824,43.57142857,47.42857143,1,"Down"
"239",48.8,6,6,23.7,-0.0314,-0.0738,45.71428571,47.28571429,0,"Down"
"240",45.6,6,6,23.1,-0.0342,-0.0657,49.71428571,45.85714286,0,"Up"
"241",42.2,6,6,22.9,-0.0156,-0.0558,49.42857143,44.71428571,0,"Down"
"242",76.8,6,6,22.9,0.0184,-0.0436,49.14285714,43.57142857,0,"Up"
"243",77.8,6,6,23.3,0.0682,-0.0273,48.85714286,42.42857143,0,"Down"
